Rank,Player,Rate,Start Year,End Year,Tm
1,Patrick Mahomes,105.7,2017,2022,kan
2,Aaron Rodgers,103.6,2005,2022,gnb
3,Deshaun Watson,102.3,2017,2022,2TM
4,Joe Burrow,100.4,2020,2022,cin
5,Russell Wilson,100.2,2012,2022,2TM
6,Jimmy Garoppolo,99.6,2014,2022,2TM
7,Drew Brees,98.7,2001,2020,2TM
8,Kirk Cousins,97.8,2012,2022,2TM
,Dak Prescott,97.8,2016,2022,dal
10,Tom Brady,97.2,2000,2022,2TM
11,Tony Romo,97.1,2004,2016,dal
12,Steve Young,96.8,1985,1999,2TM
13,Lamar Jackson,96.7,2018,2022,rav
14,Peyton Manning,96.5,1998,2015,2TM
15,Justin Herbert,96.2,2020,2022,sdg
16,Philip Rivers,95.2,2004,2020,2TM
17,Kurt Warner,93.7,1998,2009,3TM
18,Matt Ryan,93.6,2008,2022,2TM
19,Ben Roethlisberger,93.5,2004,2021,pit
20,Jared Goff,92.8,2016,2022,2TM
21,Kyler Murray,92.5,2019,2022,crd
22,Joe Montana,92.3,1979,1994,2TM
23,Josh Allen,92.2,2018,2022,buf
24,Ryan Tannehill,91.9,2012,2022,2TM
25,Derek Carr,91.8,2014,2022,rai
26,Matthew Stafford,90.9,2009,2022,2TM
27,Teddy Bridgewater,90.5,2014,2022,5TM
28,Chad Pennington,90.1,2000,2010,2TM
29,Andrew Luck,89.5,2012,2018,clt
,Matt Schaub,89.5,2004,2020,4TM
31,Marcus Mariota,89.3,2015,2022,3TM
,Carson Wentz,89.3,2016,2022,3TM
33,Colin Kaepernick,88.9,2011,2016,sfo
34,Tyrod Taylor,88.2,2011,2022,6TM
35,Carson Palmer,87.9,2004,2017,3TM
36,Daunte Culpepper,87.8,1999,2009,4TM
37,Andy Dalton,87.6,2011,2022,4TM
38,Jeff Garcia,87.5,1999,2009,5TM
,Jameis Winston,87.5,2015,2022,2TM
40,Alex Smith,86.9,2005,2020,3TM
41,Otto Graham,86.6,1946,1955,cle
42,Daniel Jones,86.5,2019,2022,nyg
,Baker Mayfield,86.5,2018,2022,3TM
44,Dan Marino,86.4,1983,1999,mia
,Mitchell Trubisky,86.4,2017,2022,3TM
46,Nick Foles,86.2,2012,2022,6TM
47,Brett Favre,86,1991,2010,4TM
,Trent Green,86,1997,2008,4TM
49,David Garrard,85.8,2002,2010,jax
50,Donovan McNabb,85.6,1999,2011,3TM
51,Jay Cutler,85.3,2006,2017,3TM
52,Case Keenum,85.2,2013,2022,7TM
,Cam Newton,85.2,2011,2021,2TM
54,Geno Smith,84.8,2013,2022,4TM
55,Rich Gannon,84.7,1987,2004,4TM
56,Sam Bradford,84.5,2010,2018,4TM
57,Jacoby Brissett,84.4,2016,2022,4TM
,Marc Bulger,84.4,2002,2009,ram
,Jim Kelly,84.4,1986,1996,buf
60,Eli Manning,84.1,2004,2019,nyg
61,Mark Brunell,84,1994,2011,5TM
,Joe Flacco,84,2008,2022,3TM
63,Roger Staubach,83.4,1969,1979,dal
64,Brian Hoyer,82.9,2009,2022,7TM
65,Steve McNair,82.8,1995,2007,2TM
66,Brian Griese,82.7,1998,2008,4TM
,Neil Lomax,82.7,1981,1988,crd
68,Len Dawson,82.6,1957,1975,3TM
,Sonny Jurgensen,82.6,1957,1974,2TM
70,Brad Johnson,82.5,1994,2008,4TM
71,Matt Hasselbeck,82.4,1999,2015,4TM
72,Ryan Fitzpatrick,82.3,2005,2021,9TM
73,Ken Anderson,81.9,1971,1986,cin
74,Bernie Kosar,81.8,1985,1996,3TM
,Neil O'Donnell,81.8,1991,2003,4TM
76,Jason Campbell,81.7,2006,2014,5TM
,Danny White,81.7,1976,1988,dal
78,Troy Aikman,81.6,1989,2000,dal
79,Randall Cunningham,81.5,1985,2001,4TM
,Dave Krieg,81.5,1980,1998,6TM
81,Jake Delhomme,81.3,1999,2011,4TM
82,Kyle Orton,81.2,2005,2014,5TM
83,Boomer Esiason,81.1,1984,1997,3TM
84,Warren Moon,80.9,1984,2000,4TM
85,Blake Bortles,80.6,2014,2019,2TM
86,Jeff Hostetler,80.5,1985,1997,3TM
,Bart Starr,80.5,1956,1971,gnb
88,Jeff George,80.4,1990,2001,5TM
,Ken O'Brien,80.4,1984,1993,2TM
,Fran Tarkenton,80.4,1961,1978,2TM
,Michael Vick,80.4,2001,2015,4TM
92,Steve Beuerlein,80.3,1988,2003,6TM
93,Dan Fouts,80.2,1973,1987,sdg
94,John Elway,79.9,1983,1998,den
95,Tony Eason,79.7,1983,1990,2TM
,Josh McCown,79.7,2002,2019,9TM
97,Elvis Grbac,79.6,1994,2001,3TM
98,Chris Chandler,79.1,1988,2004,7TM
99,Byron Leftwich,78.9,2003,2012,4TM
,Mark Rypien,78.9,1988,2001,5TM
101,Jim Everett,78.6,1986,1997,3TM
102,Aaron Brooks,78.5,2000,2006,2TM
,Matt Cassel,78.5,2005,2018,7TM
,Phil Simms,78.5,1979,1993,nyg
105,Sam Darnold,78.2,2018,2022,2TM
,Bert Jones,78.2,1973,1982,2TM
,Jim McMahon,78.2,1982,1996,6TM
,Johnny Unitas,78.2,1956,1973,2TM
109,Jeff Blake,78,1992,2005,7TM
,Bobby Hebert,78,1985,1996,2TM
111,Josh Freeman,77.6,2009,2015,3TM
,Jim Harbaugh,77.6,1987,2000,4TM
,Frank Ryan,77.6,1958,1970,3TM
114,Jon Kitna,77.4,1997,2011,4TM
,Joe Theismann,77.4,1974,1985,was
116,Charlie Batch,77.2,1998,2012,2TM
117,Drew Bledsoe,77.1,1993,2006,3TM
,Jay Fiedler,77.1,1995,2005,5TM
,Bob Griese,77.1,1967,1980,mia
120,Bill Kenney,77,1980,1988,kan
121,Gary Danielson,76.6,1976,1988,2TM
,Erik Kramer,76.6,1987,1999,4TM
123,Doug Flutie,76.3,1986,2005,4TM
124,Chad Henne,76.1,2008,2022,3TM
125,Stan Humphries,75.8,1989,1997,2TM
126,Wade Wilson,75.6,1981,1998,5TM
127,Steve Bartkowski,75.4,1975,1986,2TM
128,Steve Bono,75.3,1985,1999,7TM
,Scott Mitchell,75.3,1991,2001,4TM
,Ken Stabler,75.3,1970,1984,3TM
131,Tim Couch,75.1,1999,2003,cle
,Norm Van Brocklin,75.1,1949,1960,2TM
133,Sid Luckman,75,1939,1950,chi
,Vinny Testaverde,75,1987,2007,7TM
135,David Carr,74.9,2002,2012,4TM
,Chris Miller,74.9,1987,1999,3TM
137,Don Meredith,74.8,1960,1968,dal
,Brian Sipe,74.8,1974,1983,cle
139,Jake Plummer,74.6,1997,2006,2TM
140,Roman Gabriel,74.3,1962,1977,2TM
,Y.A. Tittle,74.3,1948,1964,3TM
142,Steve DeBerg,74.2,1978,1998,6TM
,Gus Frerotte,74.2,1994,2008,7TM
144,Earl Morrall,74.1,1956,1976,6TM
145,Kerry Collins,73.8,1995,2011,6TM
146,Frankie Albert,73.5,1946,1952,sfo
,Craig Morton,73.5,1965,1982,3TM
148,Rodney Peete,73.3,1989,2004,6TM
149,Mark Sanchez,73.2,2009,2018,4TM
150,Daryle Lamonica,72.9,1963,1974,2TM
,Greg Landry,72.9,1968,1984,3TM
,Don Majkowski,72.9,1987,1996,3TM
153,Ron Jaworski,72.8,1974,1989,4TM
,Tommy Kramer,72.8,1977,1990,2TM
155,Blaine Gabbert,72.6,2011,2022,5TM
156,Tony Banks,72.4,1996,2005,4TM
157,Bubby Brister,72.3,1986,2000,5TM
