Rank,Player,TD%,Start Year,End Year,Tm
1,Sid Luckman,7.90%,1939,1950,chi
2,Frankie Albert,7.40%,1946,1952,sfo
3,Frank Ryan,7.00%,1958,1970,3TM
4,Otto Graham,6.60%,1946,1955,cle
5,Patrick Mahomes,6.40%,2017,2022,kan
,Len Dawson,6.40%,1957,1975,3TM
7,Daryle Lamonica,6.30%,1963,1974,2TM
8,Sammy Baugh,6.20%,1937,1952,was
,Aaron Rodgers,6.20%,2005,2022,gnb
10,Charlie Conerly,6.10%,1948,1961,nyg
,Lamar Jackson,6.10%,2018,2022,rav
12,Bob Waterfield,6.00%,1945,1952,ram
,Earl Morrall,6.00%,1956,1976,6TM
,Sonny Jurgensen,6.00%,1957,1974,2TM
,Norm Van Brocklin,6.00%,1949,1960,2TM
16,Russell Wilson,5.90%,2012,2022,2TM
,George Blanda,5.90%,1949,1975,4TM
18,Don Meredith,5.80%,1960,1968,dal
,Eddie LeBaron,5.80%,1952,1963,2TM
,Deshaun Watson,5.80%,2017,2022,2TM
21,Peyton Manning,5.70%,1998,2015,2TM
,Tony Romo,5.70%,2004,2016,dal
23,Bob Griese,5.60%,1967,1980,mia
,Johnny Unitas,5.60%,1956,1973,2TM
,Steve Young,5.60%,1985,1999,2TM
26,Y.A. Tittle,5.50%,1948,1964,3TM
27,Terry Bradshaw,5.40%,1970,1983,pit
,Tom Flores,5.40%,1960,1969,3TM
,Drew Brees,5.40%,2001,2020,2TM
,Tom Brady,5.40%,2000,2022,2TM
,Josh Allen,5.40%,2018,2022,buf
,Joe Burrow,5.40%,2020,2022,cin
33,Babe Parilli,5.30%,1952,1969,5TM
,Bobby Layne,5.30%,1948,1962,4TM
,Fran Tarkenton,5.30%,1961,1978,2TM
,Danny White,5.30%,1976,1988,dal
37,John Hadl,5.20%,1962,1977,4TM
,Andrew Luck,5.20%,2012,2018,clt
,Kirk Cousins,5.20%,2012,2022,2TM
,Philip Rivers,5.20%,2004,2020,2TM
,Roger Staubach,5.20%,1969,1979,dal
42,Bill Nelsen,5.10%,1963,1972,2TM
,Ed Brown,5.10%,1954,1965,3TM
,Ken Stabler,5.10%,1970,1984,3TM
,Kurt Warner,5.10%,1998,2009,3TM
,Billy Kilmer,5.10%,1961,1978,3TM
,Tobin Rote,5.10%,1950,1966,4TM
,Steve Grogan,5.10%,1975,1990,nwe
,Joe Montana,5.10%,1979,1994,2TM
,Dak Prescott,5.10%,2016,2022,dal
51,Milt Plum,5.00%,1957,1969,4TM
,Jimmy Garoppolo,5.00%,2014,2022,2TM
,Dan Marino,5.00%,1983,1999,mia
,Charley Johnson,5.00%,1961,1975,3TM
,Brett Favre,5.00%,1991,2010,4TM
,Jim Kelly,5.00%,1986,1996,buf
,Ben Roethlisberger,5.00%,2004,2021,pit
58,Billy Wade,4.90%,1954,1966,2TM
,Dave Krieg,4.90%,1980,1998,6TM
,Jameis Winston,4.90%,2015,2022,2TM
,Bert Jones,4.90%,1973,1982,2TM
62,Craig Morton,4.80%,1965,1982,3TM
,Bart Starr,4.80%,1956,1971,gnb
,Randall Cunningham,4.80%,1985,2001,4TM
,Justin Herbert,4.80%,2020,2022,sdg
,John Brodie,4.80%,1957,1973,sfo
67,Boomer Esiason,4.70%,1984,1997,3TM
,Vince Ferragamo,4.70%,1977,1986,3TM
,Ryan Tannehill,4.70%,2012,2022,2TM
,Matthew Stafford,4.70%,2009,2022,2TM
,Carson Palmer,4.70%,2004,2017,3TM
