Rank,Player,Y/G,Start Year,End Year,Tm
1,Patrick Mahomes,303,2017,2022,kan
2,Justin Herbert,287.5,2020,2022,sdg
3,Joe Burrow,280.3,2020,2022,cin
4,Drew Brees,280,2001,2020,2TM
5,Andrew Luck,275.2,2012,2018,clt
6,Matthew Stafford,272.7,2009,2022,2TM
7,Peyton Manning,270.5,1998,2015,2TM
8,Matt Ryan,268.3,2008,2022,2TM
9,Tom Brady,266.3,2000,2022,2TM
10,Kirk Cousins,261.5,2012,2022,2TM
11,Kurt Warner,260.8,1998,2009,3TM
12,Deshaun Watson,260.7,2017,2022,2TM
13,Philip Rivers,260,2004,2020,2TM
14,Jared Goff,258.5,2016,2022,2TM
15,Ben Roethlisberger,257.4,2004,2021,pit
16,Dak Prescott,257.1,2016,2022,dal
17,Aaron Rodgers,256.8,2005,2022,gnb
18,Carson Palmer,254.1,2004,2017,3TM
19,Jameis Winston,254,2015,2022,2TM
20,Dan Marino,253.6,1983,1999,mia
21,Derek Carr,248,2014,2022,rai
22,Kyler Murray,242.9,2019,2022,crd
23,Eli Manning,241.6,2004,2019,nyg
24,Josh Allen,238.9,2018,2022,buf
25,Carson Wentz,237.9,2016,2022,3TM
,Brett Favre,237.9,1991,2010,4TM
27,Dan Fouts,237.8,1973,1987,sdg
28,Marc Bulger,237.6,2002,2009,ram
29,Trent Green,237.3,1997,2008,4TM
30,Warren Moon,237.1,1984,2000,4TM
31,Russell Wilson,234.6,2012,2022,2TM
32,Sam Bradford,234.3,2010,2018,4TM
33,Joe Flacco,231.3,2008,2022,3TM
34,Daunte Culpepper,230,1999,2009,4TM
,Drew Bledsoe,230,1993,2006,3TM
36,Andy Dalton,229.8,2011,2022,4TM
37,Jay Cutler,229.6,2006,2017,3TM
38,Ryan Tannehill,229.4,2012,2022,2TM
39,Blake Bortles,226.3,2014,2019,2TM
40,Baker Mayfield,226.2,2018,2022,3TM
41,Josh Freeman,223.8,2009,2015,3TM
42,Donovan McNabb,223.2,1999,2011,3TM
43,Jim Kelly,221.7,1986,1996,buf
44,Jim Everett,220.5,1986,1997,3TM
45,John Elway,220,1983,1998,den
46,Tony Romo,219.1,2004,2016,dal
47,Cam Newton,218.8,2011,2021,2TM
48,Aaron Brooks,217.9,2000,2006,2TM
49,Daniel Jones,214.9,2019,2022,nyg
50,Joe Montana,211.2,1979,1994,2TM
51,Jon Kitna,211,1997,2011,4TM
52,Neil Lomax,210.8,1981,1988,crd
,Ryan Fitzpatrick,210.8,2005,2021,9TM
54,Jeff George,210.7,1990,2001,5TM
55,Sam Darnold,210.1,2018,2022,2TM
56,Brian Griese,209,1998,2008,4TM
57,Kyle Orton,207.3,2005,2014,5TM
58,Kerry Collins,206.7,1995,2011,6TM
59,Alex Smith,204.9,2005,2020,3TM
60,Jake Plummer,204.6,1997,2006,2TM
61,Jeff Garcia,204.3,1999,2009,5TM
62,Phil Simms,204,1979,1993,nyg
63,Jake Delhomme,203.6,1999,2011,4TM
64,Boomer Esiason,202.8,1984,1997,3TM
65,Nick Foles,200.4,2012,2022,6TM
66,Chad Pennington,200.3,2000,2010,2TM
67,Troy Aikman,199.6,1989,2000,dal
68,Vinny Testaverde,198.4,1987,2007,7TM
69,Joe Namath,197.6,1965,1977,2TM
70,Chris Miller,197.1,1987,1999,3TM
71,Steve Young,196,1985,1999,2TM
72,Stan Humphries,195.4,1989,1997,2TM
73,Ken O'Brien,194.5,1984,1993,2TM
74,Steve McNair,194.4,1995,2007,2TM
,Mark Sanchez,194.4,2009,2018,4TM
76,Teddy Bridgewater,193.8,2014,2022,5TM
77,Doug Williams,193.2,1978,1989,2TM
78,Jimmy Garoppolo,193.1,2014,2022,2TM
79,Tommy Kramer,192.1,1977,1990,2TM
80,Fran Tarkenton,191.1,1961,1978,2TM
81,Case Keenum,190.8,2013,2022,7TM
82,Johnny Unitas,190.7,1956,1973,2TM
83,Brian Sipe,189.7,1974,1983,cle
84,Rex Grossman,189.5,2003,2011,3TM
85,Otto Graham,187.2,1946,1955,cle
86,Steve Bartkowski,187,1975,1986,2TM
87,Jason Campbell,186.3,2006,2014,5TM
88,Randall Cunningham,186.2,1985,2001,4TM
89,David Garrard,186.1,2002,2010,jax
90,Mitchell Trubisky,186,2017,2022,3TM
91,Bernie Kosar,184.9,1985,1996,3TM
92,Erik Kramer,184.8,1987,1999,4TM
93,Bobby Hebert,183.8,1985,1996,2TM
94,Rich Gannon,183.1,1987,2004,4TM
95,Jeff Blake,182.4,1992,2005,7TM
96,Joey Harrington,181.4,2002,2007,3TM
97,Geno Smith,180.6,2013,2022,4TM
98,Steve Grogan,180.4,1975,1990,nwe
99,Marcus Mariota,180,2015,2022,3TM
100,Tim Couch,179.5,1999,2003,cle
101,Dave Krieg,179.1,1980,1998,6TM
102,Bert Jones,178.3,1973,1982,2TM
103,Colin Kaepernick,177.8,2011,2016,sfo
104,Mark Rypien,177.6,1988,2001,5TM
105,Byron Leftwich,175.5,2003,2012,4TM
106,Matt Hasselbeck,175.3,1999,2015,4TM
107,Lamar Jackson,174.4,2018,2022,rav
108,Jack Kemp,173.9,1957,1969,3TM
109,Josh McCown,173.8,2002,2019,9TM
110,Neil O'Donnell,173.5,1991,2003,4TM
111,Roger Staubach,173.3,1969,1979,dal
112,Richard Todd,173.2,1976,1985,2TM
113,Norm Snead,173,1961,1976,5TM
114,Jim Hart,172.5,1966,1984,2TM
115,Ken Anderson,171,1971,1986,cin
116,Chad Henne,170.4,2008,2022,3TM
117,Jay Schroeder,170,1985,1994,4TM
118,Norm Van Brocklin,168.7,1949,1960,2TM
119,Terry Bradshaw,166.6,1970,1983,pit
120,Steve DeBerg,166.2,1978,1998,6TM
,Mark Brunell,166.2,1994,2011,5TM
122,Don Meredith,165.4,1960,1968,dal
123,Jim Plunkett,164.9,1971,1986,3TM
124,Matt Schaub,164.3,2004,2020,4TM
125,Brad Johnson,164.1,1994,2008,4TM
126,Matt Cassel,163.6,2005,2018,7TM
,Steve Beuerlein,163.6,1988,2003,6TM
128,Bill Kenney,163,1980,1988,kan
129,Y.A. Tittle,162.1,1948,1964,3TM
130,Roman Gabriel,160.9,1962,1977,2TM
131,Joe Ferguson,160.3,1973,1990,4TM
132,Doug Flutie,159.9,1986,2005,4TM
133,Elvis Grbac,159.8,1994,2001,3TM
134,Tony Banks,159.5,1996,2005,4TM
135,Scott Mitchell,158.5,1991,2001,4TM
136,Archie Manning,158.4,1971,1984,3TM
137,Chris Chandler,158.2,1988,2004,7TM
138,Trent Dilfer,157.8,1994,2007,5TM
139,Bill Nelsen,157.4,1963,1972,2TM
140,Rodney Peete,157.1,1989,2004,6TM
,Michael Vick,157.1,2001,2015,4TM
142,John Brodie,157,1957,1973,sfo
143,Bob Griese,155.9,1967,1980,mia
144,Jay Fiedler,155.8,1995,2005,5TM
145,David Carr,153.7,2002,2012,4TM
146,Lynn Dickey,153.4,1971,1985,2TM
147,Bobby Layne,153,1948,1962,4TM
148,Jack Trudeau,152.9,1986,1995,3TM
149,Jim McMahon,152.5,1982,1996,6TM
150,Ken Stabler,151.8,1970,1984,3TM
151,Vince Ferragamo,151.1,1977,1986,3TM
152,Joe Theismann,150.9,1974,1985,was
153,Jim Zorn,150.8,1976,1987,3TM
154,Ron Jaworski,149.9,1974,1989,4TM
155,Rick Mirer,149.6,1993,2003,5TM
,John Hadl,149.6,1962,1977,4TM
157,Jim Harbaugh,148.5,1987,2000,4TM
158,Charley Johnson,147.9,1961,1975,3TM
159,Sonny Jurgensen,147.8,1957,1974,2TM
160,Bubby Brister,145.9,1986,2000,5TM
161,Gus Frerotte,144.8,1994,2008,7TM
,Billy Wade,144.8,1954,1966,2TM
163,Don Majkowski,141.1,1987,1996,3TM
164,Dave Brown,140.4,1992,2001,2TM
,Brian Hoyer,140.4,2009,2022,7TM
166,Derek Anderson,139.5,2006,2018,4TM
167,Mark Malone,139.4,1980,1989,3TM
168,Blaine Gabbert,138.8,2011,2022,5TM
169,Wade Wilson,138.3,1981,1998,5TM
170,Frank Tripucka,137.1,1949,1963,4TM
171,Charlie Batch,136.9,1998,2012,2TM
172,Gary Danielson,136.3,1976,1988,2TM
173,Billy Joe Tolliver,136.2,1989,1999,5TM
,Jacoby Brissett,136.2,2016,2022,4TM
175,Len Dawson,136.1,1957,1975,3TM
176,Milt Plum,135.9,1957,1969,4TM
177,Craig Morton,134.8,1965,1982,3TM
178,Kyle Boller,133.3,2003,2011,3TM
,Tyrod Taylor,133.3,2011,2022,6TM
180,Danny White,132.3,1976,1988,dal
,Dan Pastorini,132.3,1971,1983,4TM
182,Sammy Baugh,131.1,1937,1952,was
183,Bob Waterfield,130.2,1945,1952,ram
184,Frank Ryan,127.3,1958,1970,3TM
185,Daryle Lamonica,126.8,1963,1974,2TM
186,Tobin Rote,126.5,1950,1966,4TM
187,Bart Starr,126.1,1956,1971,gnb
188,Mike Livingston,124.1,1968,1979,kan
189,Tony Eason,123.8,1983,1990,2TM
190,Charlie Conerly,121,1948,1961,nyg
191,Billy Kilmer,120.6,1961,1978,3TM
192,Bill Munson,120.5,1964,1979,5TM
193,Babe Parilli,120,1952,1969,5TM
194,Frankie Albert,119.9,1946,1952,sfo
195,Steve Bono,118.6,1985,1999,7TM
196,Kordell Stewart,118,1995,2005,3TM
197,Sid Luckman,114.7,1939,1950,chi
198,Marc Wilson,114.2,1980,1990,2TM
199,Tom Flores,112.8,1960,1969,3TM
200,Greg Landry,109.9,1968,1984,3TM
201,Jeff Hostetler,108.1,1985,1997,3TM
202,Cotton Davidson,105.9,1954,1968,3TM
203,Eric Hipple,105,1980,1989,det
204,Ed Brown,101.3,1954,1965,3TM
205,Eddie LeBaron,100,1952,1963,2TM
206,Mike Phipps,88.3,1970,1981,2TM
207,Mike Tomczak,86.9,1985,1999,4TM
208,Earl Morrall,81.6,1956,1976,6TM
209,George Blanda,79.2,1949,1975,4TM
210,Mike Pagel,71.3,1982,1993,3TM
